source,state,county,species_or_flock_type,flock_size,hpai_strain,outbreak_date,date_detected,date_collected,date_confirmed,woah_classification,sampling_method,submitting_agency
APHIS - HPAI Detections in Wild Birds,Oregon,Lake,American wigeon,,EA H5N1,,11/22/2022,11/12/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Oregon,Lake,American wigeon,,EA H5N1,,11/22/2022,11/12/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Louisiana,Richland,Northern shoveler,,EA H5N1,,4/24/2023,11/19/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Louisiana,Richland,Green-winged teal,,EA H5N1,,4/24/2023,11/19/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Louisiana,Richland,Green-winged teal,,EA H5N1,,4/24/2023,11/19/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Louisiana,Richland,Northern pintail,,EA H5N1,,4/24/2023,11/19/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Louisiana,Richland,Mallard,,EA H5N1,,4/24/2023,11/19/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Louisiana,Richland,American wigeon,,EA H5N1,,4/24/2023,11/19/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Louisiana,Richland,Ross's goose,,EA H5N1,,4/24/2023,11/19/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,New York,Columbia,Canada goose,,EA/AM H5N1,,5/2/2023,4/21/2023,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Erie,American crow,,EA/AM H5N1,,5/2/2023,4/21/2023,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Wyoming,Red-tailed hawk,,EA/AM H5N1,,5/2/2023,4/21/2023,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,Montana,Madison,Magpie (unidentified),,EA H5N1,,5/2/2023,4/18/2023,"",Wild bird,Morbidity/Mortality,MT FWP
APHIS - HPAI Detections in Wild Birds,Alabama,Sumter,Black vulture,,EA H5N1,,12/20/2022,12/5/2022,"",Wild bird,Morbidity/Mortality,AL DCNR/AL Dept of Ag/NWDP
APHIS - HPAI Detections in Wild Birds,Alabama,Sumter,Black vulture,,EA/AM H5N1,,12/20/2022,12/5/2022,"",Wild bird,Morbidity/Mortality,AL DCNR/AL Dept of Ag/NWDP
APHIS - HPAI Detections in Wild Birds,Alabama,Shelby,Black vulture,,EA/AM H5N1,,1/3/2023,12/21/2022,"",Wild bird,Morbidity/Mortality,AL DCNR/AL Dept of Ag/NWDP
APHIS - HPAI Detections in Wild Birds,Maryland,Dorchester,Bald eagle,,EA H5N1,,5/3/2023,11/5/2022,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Arizona,Coconino,California condor,,EA H5N1,,5/3/2023,4/27/2023,"",Wild bird,Morbidity/Mortality,USFWS
APHIS - HPAI Detections in Wild Birds,Wisconsin,Sheboygan,Bald eagle,,EA/AM H5N1,,5/5/2023,12/31/2022,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Wyoming,Sweetwater,Bald eagle,,EA H5N1,,5/5/2023,4/25/2023,"",Wild bird,Morbidity/Mortality,WY GFD
APHIS - HPAI Detections in Wild Birds,Wyoming,Platte,Turkey vulture,,EA/AM H5N1,,5/5/2023,4/19/2023,"",Wild bird,Morbidity/Mortality,WY GFD
APHIS - HPAI Detections in Wild Birds,Wyoming,Fremont,Cooper's hawk,,EA H5N1,,5/8/2023,4/29/2023,"",Wild bird,Morbidity/Mortality,WY GFD
APHIS - HPAI Detections in Wild Birds,New York,Wyoming,Red-tailed hawk,,EA/AM H5N1,,5/8/2023,4/28/2023,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Erie,American crow,,EA/AM H5N1,,5/8/2023,4/27/2023,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Dutchess,Canada goose,,EA/AM H5N1,,5/8/2023,4/27/2023,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,Oregon,Morrow,American wigeon,,EA/AM H5N1,,5/9/2023,1/7/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Gadwall,,EA H5N1,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Northern pintail,,EA H5N1,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Northern pintail,,EA H5N1,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,American wigeon,,EA H5,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Green-winged teal,,EA H5,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Green-winged teal,,EA H5N1,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Green-winged teal,,EA/AM H5N1,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Green-winged teal,,EA H5N1,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Green-winged teal,,EA H5N1,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Northern shoveler,,EA/AM H5N1,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Northern shoveler,,EA H5,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Northern shoveler,,EA H5N1 mixed,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,New York,Seneca,Mallard,,EA H5N1,,2/10/2023,1/31/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Northern shoveler,,EA H5,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Yolo,Northern shoveler,,EA/AM H5N1,,2/24/2023,10/23/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,New York,Erie,Mallard,,EA/AM H5N1,,2/28/2023,2/17/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,Texas,Orange,Northern shoveler,,EA/AM H5N1,,5/16/2023,1/19/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,California,Los Angeles,Western gull,,EA H5N1,,4/13/2023,3/30/2023,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,Alabama,Tallapoosa,Bald eagle,,EA H5N1,,12/20/2022,12/8/2022,"",Wild bird,Morbidity/Mortality,AL DCNR/AL Dept of Ag/NWDP
APHIS - HPAI Detections in Wild Birds,Alabama,Lauderdale,Bald eagle,,EA H5N1,,12/20/2022,12/13/2022,"",Wild bird,Morbidity/Mortality,AL DCNR/AL Dept of Ag/NWDP
APHIS - HPAI Detections in Wild Birds,New York,Ontario,Red-tailed hawk,,EA/AM H5N1,,5/9/2023,5/3/2023,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,Colorado,Moffat,Swainson's hawk,,EA H5N1,,5/11/2023,5/2/2023,"",Wild bird,Morbidity/Mortality,CO Parks & Wildlife
APHIS - HPAI Detections in Wild Birds,New York,Schuyler,Red-tailed hawk,,EA/AM H5N1,,5/11/2023,5/1/2023,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,Oregon,Wallowa,Great horned owl,,EA/AM H5N1,,5/11/2023,5/4/2023,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Wyoming,Johnson,Great horned owl,,EA/AM H5N1,,5/15/2023,4/13/2023,"",Wild bird,Morbidity/Mortality,WY GFD
APHIS - HPAI Detections in Wild Birds,Minnesota,Scott,Mallard,,EA/AM H5N1,,5/17/2023,3/7/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,Minnesota,Scott,Mallard,,EA/AM H5N1,,5/17/2023,3/7/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,New Hampshire,Belknap,Mallard,,EA/AM H5N1,,3/15/2023,2/27/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,New Hampshire,Sullivan,Mallard,,EA/AM H5N1,,5/17/2023,3/2/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,Texas,Jefferson,Gadwall,,EA/AM H5N1,,5/17/2023,1/21/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Illinois,Macon,Bald eagle,,EA/AM H5N1,,5/3/2023,3/9/2022,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,New Jersey,Essex,Canada goose,,EA H5N1,,2/17/2023,Unknown,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,New York,Erie,Mallard,,EA H5N1,,2/28/2023,2/17/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,New York,Erie,Mallard,,EA H5N1,,2/28/2023,2/17/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,New York,Erie,Mallard,,EA H5N1,,2/28/2023,2/17/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,New York,Erie,Mallard,,EA H5N1,,2/28/2023,2/17/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,New York,Erie,Mallard,,EA H5N1,,2/28/2023,2/17/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,New York,Seneca,Mallard,,EA H5N1,,2/10/2023,1/31/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,New York,Erie,Mallard,,EA H5,,2/28/2023,2/17/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,Massachusetts,Plymouth,Mute swan,,EA H5N1,,11/15/2022,6/26/2022,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Plymouth,Common eider,,EA H5N1,,11/15/2022,6/26/2022,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N5,,2/14/2023,2/3/2023,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N5,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,American crow,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Herring gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Plymouth,Great black-backed gull,,EA H5N5,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Plymouth,Canada goose,,EA/AM H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Norfolk,Canada goose,,EA/AM H5N1,,2/14/2023,Unknown,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Middlesex,Canada goose,,EA/AM H5N1,,2/14/2023,Unknown,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Middlesex,Canada goose,,EA/AM H5N1,,2/14/2023,Unknown,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Middlesex,American crow,,EA/AM H5N1,,2/14/2023,1/10/2023,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Middlesex,Red-tailed hawk,,EA/AM H5N1,,2/14/2023,1/16/2023,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Essex,Red-tailed hawk,,EA/AM H5N1,,2/14/2023,1/16/2023,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Middlesex,Great horned owl,,EA/AM H5N1,,2/14/2023,1/17/2023,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Red-tailed hawk,,EA/AM H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,American crow,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N5,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Essex,Peregrine falcon,,EA/AM H5N1,,2/14/2023,1/30/2023,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,American crow,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Red-tailed hawk,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Massachusetts,Barnstable,Great black-backed gull,,EA H5N1,,2/14/2023,Unknown,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Iowa,Story,Canada goose,,EA/AM H5N1,,3/17/2023,3/9/2023,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,Texas,Jefferson,Gadwall,,EA H5N1,,3/10/2023,1/21/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,New Hampshire,Grafton,Mallard,,EA H5N1,,3/15/2023,3/3/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,Texas,Jefferson,Gadwall,,EA H5N1,,3/10/2023,1/21/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Texas,Jefferson,Green-winged teal,,EA H5,,3/10/2023,1/21/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Minnesota,Scott,Mallard,,EA H5,,3/21/2023,3/7/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,Texas,Jefferson,Gadwall,,EA H5N1,,3/10/2023,1/21/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Texas,Jefferson,Green-winged teal,,EA H5,,3/10/2023,1/21/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Minnesota,Scott,Mallard,,EA H5,,3/21/2023,3/7/2023,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,Montana,Sanders,Golden eagle,,EA H5,,5/9/2023,4/4/2023,"",Wild bird,Morbidity/Mortality,MT FWP
APHIS - HPAI Detections in Wild Birds,Alaska,Aleutians East,Mallard,,EA/AM H5N1,,5/9/2023,9/30/2022,"",Wild bird,Morbidity/Mortality,USGS/SCWDS
APHIS - HPAI Detections in Wild Birds,New York,Dutchess,Common raven,,EA/AM H5N1,,5/18/2023,5/3/2023,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,Colorado,El Paso,Great horned owl,,EA H5N1,,5/18/2023,5/9/2023,"",Wild bird,Morbidity/Mortality,CO Parks & Wildlife
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Lancaster,Black vulture,,EA/AM H5N1,,5/16/2023,4/6/2023,"",Wild bird,Morbidity/Mortality,PA Game Commission
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Schuylkill,Bald eagle,,EA/AM H5N1,,5/16/2023,3/13/2023,"",Wild bird,Morbidity/Mortality,PA Game Commission
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Lancaster,Turkey vulture,,EA/AM H5N1,,5/16/2023,3/17/2023,"",Wild bird,Morbidity/Mortality,PA Game Commission
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Chester,Black vulture,,EA/AM H5N1,,5/16/2023,4/6/2023,"",Wild bird,Morbidity/Mortality,PA Game Commission
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Dauphin,American crow,,EA/AM H5N1,,5/16/2023,3/14/2023,"",Wild bird,Morbidity/Mortality,PA Game Commission
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Huntingdon,Common raven,,EA/AM H5,,5/16/2023,3/22/2023,"",Wild bird,Morbidity/Mortality,PA Game Commission
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Lancaster,Bald eagle,,EA/AM H5N1,,5/16/2023,3/20/2023,"",Wild bird,Morbidity/Mortality,PA Game Commission
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Blair,Turkey vulture,,EA/AM H5N1,,5/16/2023,4/3/2023,"",Wild bird,Morbidity/Mortality,PA Game Commission
APHIS - HPAI Detections in Wild Birds,Washington,Skagit,Mallard,,EA/AM H5N1,,5/23/2023,12/4/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Colorado,Denver,Ferruginous hawk,,EA/AM H5N1,,5/19/2023,5/12/2023,"",Wild bird,Agency harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Washington,King,Mallard,,EA/AM H5N1,,5/22/2023,11/25/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Idaho,Elmore,Mallard,,EA/AM H5N1,,5/22/2023,11/25/2022,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Mallard,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Mallard,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Mallard,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Mallard,,EA/AM H5N1,,5/12/2023,9/15/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/16/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/16/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/16/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/16/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/16/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/16/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/16/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/16/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,Blue-winged teal,,EA/AM H5N1,,5/12/2023,9/16/2022,"",Wild bird,Live bird,SCWDS
APHIS - HPAI Detections in Wild Birds,California,San Luis Obispo,Turkey vulture,,EA/AM H5N1,,2/8/2023,1/31/2023,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,San Luis Obispo,Brown pelican,,EA H5N1,,2/8/2023,1/31/2023,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,San Luis Obispo,Gull (unidentified),,EA H5N1,,2/8/2023,1/31/2023,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
