source,state,county,species_or_flock_type,flock_size,hpai_strain,outbreak_date,date_detected,date_collected,date_confirmed,woah_classification,sampling_method,submitting_agency
APHIS - HPAI Detections in Mammals,Wisconsin,Adams,Red fox,,EA H5N1,,5/13/2022,5/3/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Adams,Red fox,,EA H5N1,,5/13/2022,5/3/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Rock,Red fox,,EA H5N1,,5/13/2022,4/19/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Dane,Red fox,,EA H5N1,,5/13/2022,4/12/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Jefferson,Red fox,,EA H5N1,,5/13/2022,4/11/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Erie,Red fox,,EA H5N1,,5/16/2022,4/27/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Erie,Red fox,,EA H5N1,,5/16/2022,4/27/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,St. Lawrence,Red fox,,EA H5N1,,5/16/2022,4/15/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,St Lawrence,Red fox,,EA H5N1,,5/16/2022,4/15/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Tompkins,Red fox,,EA H5N1,,5/16/2022,4/11/2022,"","","",""
APHIS - HPAI Detections in Mammals,Iowa,Cedar,Red fox,,EA H5N1,,5/18/2022,5/11/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Niagara,Red fox,,EA H5N1,,5/19/2022,5/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Lincoln,Bobcat,,EA H5N1,,5/24/2022,5/5/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Lincoln,Bobcat,,EA H5N1,,5/24/2022,4/24/2022,"","","",""
APHIS - HPAI Detections in Mammals,Alaska,Aleutians West,Red fox,,EA H5N1,,5/25/2022,5/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,Minnesota,Itasca,Red fox,,EA H5N1,,5/27/2022,5/13/2022,"","","",""
APHIS - HPAI Detections in Mammals,Minnesota,Stearns,Red fox,,EA H5N1,,5/27/2022,5/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Erie,Red fox,,EA H5N1,,5/27/2022,5/20/2022,"","","",""
APHIS - HPAI Detections in Mammals,Iowa,Buchanan,Virginia opossum,,EA H5N1,,5/31/2022,5/20/2022,"","","",""
APHIS - HPAI Detections in Mammals,Iowa,Buchanan,Virginia opossum,,EA H5N1,,5/31/2022,5/20/2022,"","","",""
APHIS - HPAI Detections in Mammals,North Dakota,Dickey,Red fox,,EA H5N1,,6/2/2022,5/18/2022,"","","",""
APHIS - HPAI Detections in Mammals,Minnesota,Scott,Red fox,,EA H5N1,,6/3/2022,5/29/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Osceola,Red fox,,EA H5N1,,6/7/2022,5/19/2022,"","","",""
APHIS - HPAI Detections in Mammals,North Dakota,Burleigh,Red fox,,EA H5N1,,6/8/2022,5/18/2022,"","","",""
APHIS - HPAI Detections in Mammals,Utah,Salt Lake,Red fox,,EA H5N1,,6/8/2022,5/26/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Otsego,Red fox,,EA H5N1,,6/9/2022,5/18/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Midland,Red fox,,EA H5N1,,6/9/2022,5/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Midland,Red fox,,EA H5N1,,6/9/2022,5/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Osceola,Red fox,,EA H5N1,,6/9/2022,5/5/2022,"","","",""
APHIS - HPAI Detections in Mammals,Washington,Franklin,Raccoon,,EA H5N1,,6/14/2022,6/6/2022,"","","",""
APHIS - HPAI Detections in Mammals,Washington,Franklin,Raccoon,,EA H5N1,,6/14/2022,6/6/2022,"","","",""
APHIS - HPAI Detections in Mammals,Washington,Franklin,Raccoon,,EA H5N1,,6/14/2022,6/6/2022,"","","",""
APHIS - HPAI Detections in Mammals,Washington,Franklin,Raccoon,,EA H5N1,,6/14/2022,6/6/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Muskegon,Red fox,,EA H5N1,,6/17/2022,6/1/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Bay,Red fox,,EA H5N1,,6/17/2022,5/18/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Gladwin,Red fox,,EA H5N1,,6/17/2022,5/14/2022,"","","",""
